district,state,child_stunting_rate,child_wasting_rate,child_underweight_rate,child_anemia_rate,women_anemia_rate,child_diarrhea_rate,child_ari_rate,safe_drinking_water_access,sanitation_access,electricity_access,clean_cooking_fuel_access,iodized_salt_usage,institutional_delivery_rate,full_immunization_rate,health_insurance_coverage,tobacco_use_women,tobacco_use_men,alcohol_use_women,alcohol_use_men,high_blood_sugar_women,high_blood_sugar_men,high_blood_pressure_women,high_blood_pressure_men,female_education_rate,overall_child_health_risk_score,basic_infrastructure_risk_score,lifestyle_disease_risk_score,chronic_disease_risk_score,healthcare_accessibility_score,district_overall_health_risk_score,district_risk_level,district_health_risk_rank,identified_health_risk_factors
sitamarhi,bihar,54.2,16.2,40.8,70.0,61.7,16.199999999999996,3.4,99.7,50.7,93.1,40.5,95.0,64.4,66.6,20.7,6.4,55.4,0.1,12.7,12.3,14.6,17.8,17.9,59.1,40.730000000000004,-62.63333333333333,18.65,15.649999999999999,50.56666666666666,10.625333333333334,High,99.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
madhubani,bihar,43.3,17.1,36.0,71.0,61.4,16.199999999999996,4.4,100.0,38.2,98.6,40.0,91.9,73.7,74.1,19.2,5.0,53.9,0.1,11.1,13.2,20.0,18.2,23.4,55.6,37.63999999999999,-58.4,17.525,18.7,55.666666666666664,10.620999999999999,High,100.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
supaul,bihar,42.3,25.8,45.0,63.6,60.7,16.199999999999996,5.0,99.7,50.7,97.3,15.0,94.3,80.4,73.6,14.2,11.4,53.0,0.1,7.9,12.7,15.6,11.6,14.1,50.9,38.925,-54.13333333333333,18.1,13.5,56.06666666666666,11.063333333333333,High,86.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
araria,bihar,49.9,23.9,47.8,75.8,67.9,16.199999999999996,6.0,100.0,32.2,96.2,15.2,93.7,66.2,61.6,19.5,12.3,53.2,0.2,8.4,13.6,18.8,12.1,15.8,53.0,43.60999999999999,-48.133333333333326,18.525000000000002,15.075000000000001,49.1,14.537333333333335,High,16.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kishanganj,bihar,38.8,23.9,41.1,67.5,65.1,9.1,1.8,100.0,52.4,95.8,15.3,94.8,63.15,67.3,8.1,11.6,50.4,0.6,6.2,11.0,17.0,17.4,22.7,56.0,37.175,-54.900000000000006,17.2,17.025,46.18333333333333,10.734999999999996,High,95.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
purnia,bihar,43.5,25.8,47.1,68.0,66.0,12.4,2.7,99.6,35.6,92.4,19.3,92.6,68.9,62.7,10.2,6.2,47.3,0.9,13.2,16.5,21.4,18.7,22.5,53.6,40.12000000000001,-50.5,16.900000000000002,19.775,47.26666666666667,13.283000000000005,High,26.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
katihar,bihar,43.9,23.5,48.1,65.6,68.4,10.6,2.1,99.2,44.6,92.0,16.9,96.7,66.9,73.7,8.4,6.1,49.2,0.6,10.3,14.4,19.6,17.0,17.8,57.5,39.665000000000006,-52.56666666666667,16.55,17.2,49.66666666666668,12.102666666666668,High,53.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
madhepura,bihar,46.3,20.6,43.5,67.7,65.7,13.6,1.6,99.3,34.6,97.0,13.4,95.4,75.0,72.0,9.5,7.9,53.2,0.5,13.8,15.4,16.9,10.4,14.5,58.0,39.434999999999995,-48.1,18.85,14.299999999999999,52.166666666666664,12.783999999999999,High,34.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
saharsa,bihar,47.8,20.5,42.7,69.3,65.3,8.8,2.0,100.0,40.5,97.2,25.2,94.6,70.4,72.2,12.8,10.7,54.9,0.2,9.6,11.7,16.5,14.9,15.5,50.2,39.435,-54.23333333333333,18.849999999999998,14.65,51.80000000000001,11.627333333333334,High,69.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
darbhanga,bihar,45.4,19.3,39.2,68.9,60.8,14.3,3.8,99.8,48.7,97.2,41.6,96.0,69.9,66.3,25.3,5.6,55.1,0.3,10.6,13.5,19.3,17.5,23.5,54.9,38.35,-62.36666666666667,17.9,18.45,53.833333333333336,10.136666666666667,High,114.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
muzaffarpur,bihar,42.6,19.9,34.7,64.6,58.9,14.6,4.3,99.9,55.2,96.6,41.5,96.1,72.5,74.9,13.2,7.2,51.5,0.5,11.2,12.4,16.4,18.1,24.0,65.1,36.31,-64.53333333333335,17.6,17.725,53.53333333333333,8.682333333333332,High,178.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
gopalganj,bihar,34.2,21.5,29.2,56.1,53.8,6.1,5.9,99.9,60.1,96.2,39.4,96.6,85.9,75.8,12.7,5.2,47.8,0.1,12.0,10.5,10.1,20.3,22.8,63.3,31.15,-65.46666666666667,16.275,15.925,58.133333333333326,5.8066666666666675,High,344.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
siwan,bihar,36.7,18.2,30.8,63.9,53.1,15.8,7.4,99.8,47.7,95.3,48.0,94.1,86.4,76.1,8.2,4.6,44.1,0.4,11.4,9.0,15.7,19.6,29.6,70.7,33.74,-64.16666666666667,15.125,18.475,56.9,7.382666666666667,High,247.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
saran,bihar,39.7,28.8,45.0,69.8,62.8,15.9,1.6,99.7,37.2,93.6,36.8,92.9,73.0,72.0,9.4,4.2,44.0,0.6,17.4,16.5,18.1,16.7,19.3,64.8,39.495,-56.9,16.549999999999997,17.650000000000002,51.46666666666667,11.258,High,82.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
vaishali,bihar,38.3,19.6,38.4,77.1,63.1,15.0,3.9,99.2,52.6,96.5,40.9,86.6,81.6,71.0,13.5,3.9,46.3,0.4,19.2,13.6,17.1,17.4,19.6,64.5,38.04,-63.23333333333334,17.45,16.925,55.36666666666667,9.444333333333333,High,143.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
samastipur,bihar,44.0,21.3,42.8,67.2,60.5,10.6,4.5,98.6,48.8,95.7,36.1,91.9,83.4,71.4,19.0,3.5,51.7,0.1,10.5,14.3,15.9,15.8,16.4,60.9,38.25500000000001,-60.16666666666666,16.45,15.600000000000001,57.93333333333334,9.678666666666674,High,128.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
begusarai,bihar,37.8,21.0,35.6,74.5,62.9,11.9,3.1,99.1,62.2,96.2,45.2,89.2,86.0,65.8,13.2,4.0,49.6,0.4,13.7,13.2,15.8,13.9,17.0,65.0,36.904999999999994,-67.83333333333333,16.925,14.975,55.0,7.575333333333332,High,238.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
khagaria,bihar,34.8,25.3,36.4,67.1,59.5,13.9,1.6,98.8,65.0,94.5,33.2,88.0,74.2,64.7,15.6,3.5,43.7,0.1,6.9,17.1,21.7,13.0,16.1,60.6,35.519999999999996,-64.66666666666667,13.55,16.975,51.5,7.3796666666666635,High,248.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bhagalpur,bihar,40.0,21.2,40.4,78.7,73.0,10.9,1.1,98.0,60.9,94.5,49.2,86.6,77.2,66.8,16.3,2.4,47.3,0.2,21.2,15.6,16.3,13.3,14.7,65.1,39.545,-68.36666666666667,17.775,14.974999999999998,53.43333333333334,8.694666666666665,High,175.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
banka,bihar,46.7,26.9,45.8,77.8,65.9,6.9,2.3,96.3,38.2,96.2,32.3,90.1,79.8,88.1,13.6,1.8,49.4,0.5,17.9,13.0,16.9,17.4,18.8,59.3,41.76,-54.6,17.4,16.525,60.49999999999999,12.568999999999999,High,40.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
munger,bihar,35.5,26.7,39.5,74.3,71.4,14.5,2.6,97.7,62.8,98.4,59.4,92.6,93.2,73.4,15.2,2.5,40.9,0.1,12.9,19.5,21.8,16.1,18.3,69.5,38.800000000000004,-72.3,14.1,18.924999999999997,60.6,7.665000000000003,High,233.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
lakhisarai,bihar,42.7,25.6,45.1,77.2,72.6,9.7,1.3,96.6,51.6,98.0,42.6,86.6,75.8,68.9,15.1,2.4,45.4,0.8,20.0,12.8,17.8,12.3,13.8,61.2,41.22,-62.599999999999994,17.15,14.175,53.26666666666666,10.233,High,110.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
sheikhpura,bihar,53.6,16.3,37.6,80.1,69.5,9.1,6.8,98.4,54.2,97.3,40.3,90.3,89.2,82.8,9.7,2.1,45.0,0.2,23.2,9.9,11.1,16.3,16.1,58.5,42.04,-63.30000000000001,17.625,13.350000000000001,60.56666666666666,10.350999999999996,High,105.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nalanda,bihar,42.6,27.8,46.7,80.3,71.0,12.4,5.3,98.9,52.5,98.9,41.0,89.1,80.3,75.2,12.8,2.8,49.8,0.3,21.5,11.1,13.6,13.4,14.0,59.6,42.74,-63.13333333333333,18.599999999999998,13.025,56.1,10.794333333333334,High,93.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
patna,bihar,34.5,27.5,39.6,65.4,67.1,9.3,0.7,98.8,61.0,99.0,64.6,92.9,89.1,56.6,10.2,2.1,39.9,0.4,21.0,17.1,19.9,16.1,14.8,69.5,36.21,-73.8,15.85,16.975,51.96666666666666,6.289000000000002,High,310.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bhojpur,bihar,40.7,31.3,44.0,67.7,73.6,11.8,1.4,99.7,45.9,97.9,42.9,92.2,86.9,61.9,9.6,2.4,43.7,0.5,17.8,14.0,17.0,13.9,14.5,67.9,40.305,-61.833333333333336,16.1,14.85,52.800000000000004,9.945333333333334,High,118.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
buxar,bihar,39.6,33.2,45.3,68.3,66.2,10.4,3.7,99.8,52.4,98.5,44.7,93.5,89.5,75.0,11.4,1.8,42.2,0.1,11.4,12.9,11.5,13.9,10.5,64.8,39.95,-64.63333333333333,13.875,12.2,58.63333333333333,8.268333333333336,High,200.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kaimur bhabua,bihar,44.1,27.3,47.2,71.4,70.3,3.1,4.2,98.0,59.1,96.7,29.0,93.7,83.3,88.9,18.1,2.8,50.8,0.5,14.1,6.9,10.3,12.3,15.0,62.3,40.67000000000001,-61.03333333333333,17.049999999999997,11.125,63.43333333333333,9.696333333333337,High,126.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
rohtas,bihar,40.0,31.8,48.2,70.3,64.9,3.6,3.1,99.6,69.0,98.5,47.4,97.4,89.1,86.8,17.2,1.0,40.6,0.4,18.2,10.3,13.5,15.2,16.0,70.5,39.705000000000005,-71.0,15.049999999999999,13.75,64.36666666666666,7.442000000000002,High,244.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
aurangabad,bihar,41.2,32.9,48.7,68.4,60.5,7.1,2.5,100.0,47.1,97.7,38.9,92.4,77.5,89.7,15.4,3.3,46.7,1.1,23.9,10.6,14.1,16.2,15.3,65.0,39.809999999999995,-61.0,18.75,14.05,60.86666666666667,10.283999999999999,High,108.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
gaya,bihar,47.4,24.3,43.5,76.7,64.3,5.1,4.1,99.2,44.4,97.9,34.7,94.9,76.6,85.0,9.7,3.7,51.9,0.9,29.9,8.2,11.4,16.6,18.8,59.6,40.87499999999999,-58.43333333333334,21.6,13.750000000000002,57.099999999999994,11.73333333333333,High,63.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nawada,bihar,49.4,18.2,37.3,73.3,70.4,3.4,2.8,99.3,47.9,97.4,40.7,98.2,79.9,74.5,8.1,2.9,47.9,0.9,27.9,9.4,11.7,14.5,18.5,61.4,39.330000000000005,-61.633333333333326,19.9,13.525,54.166666666666664,10.090333333333337,High,115.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jamui,bihar,43.0,19.4,37.5,81.9,75.2,2.1,1.9,90.5,37.6,97.9,40.2,91.0,73.4,66.4,14.3,2.8,53.6,0.5,25.0,11.1,15.1,12.6,14.8,53.1,39.49,-55.1,20.475,13.4,51.366666666666674,11.551,High,71.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jehanabad,bihar,41.3,36.150000000000006,51.7,61.9,68.1,11.2,3.4,99.8,45.5,99.3,34.3,91.0,89.1,70.3,13.2,5.5,49.1,1.1,28.5,11.9,16.0,13.4,12.0,61.7,41.0575,-58.866666666666674,21.049999999999997,13.325,57.533333333333324,11.524666666666661,High,72.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
arwal,bihar,45.6,36.150000000000006,52.9,65.8,66.9,13.4,5.0,99.9,43.4,97.4,29.3,90.1,79.2,84.2,15.6,2.4,47.9,0.6,25.2,10.9,15.9,12.9,14.0,62.6,43.1575,-56.53333333333334,19.025,13.424999999999999,59.666666666666664,12.446333333333333,High,43.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
chandigarh,chandigarh,25.3,8.4,20.6,54.6,60.3,4.3,0.3,99.1,85.0,99.9,95.8,96.8,96.9,80.9,32.2,0.6,12.1,0.3,18.6,19.0,16.6,25.0,30.6,86.7,25.355000000000004,-92.3,7.9,22.8,70.0,-2.1779999999999973,Low,699.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
koriya,chhattisgarh,32.1,18.1,31.8,56.3,64.4,1.2,0.4,87.6,73.3,97.6,30.2,99.2,80.8,87.1,62.8,17.5,44.4,3.8,39.5,13.4,14.6,25.7,30.9,69.7,30.555,-62.69999999999999,26.3,21.15,76.89999999999999,9.172000000000002,High,153.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jashpur,chhattisgarh,35.8,17.0,33.6,54.1,61.5,1.3,0.0,88.8,72.8,98.2,14.8,98.8,85.6,94.2,80.6,21.2,55.8,3.8,50.2,8.3,10.4,28.5,34.4,67.9,30.935,-57.800000000000004,32.75,20.4,86.8,11.443999999999999,High,74.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
raigarh,chhattisgarh,39.1,14.9,28.0,62.7,62.2,1.9,0.8,97.5,66.3,99.0,29.8,99.6,87.7,90.9,66.3,19.1,43.6,3.8,33.0,8.1,13.4,26.1,31.9,72.2,32.105,-63.53333333333334,24.875,19.875,81.63333333333334,9.085333333333331,High,158.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
korba,chhattisgarh,34.7,14.7,27.9,63.6,66.4,5.3,0.3,82.2,73.3,97.9,35.5,95.4,75.4,68.4,60.6,18.6,42.6,3.7,33.4,9.6,10.2,23.9,32.7,71.1,31.805000000000003,-62.666666666666664,24.575,19.1,68.13333333333334,8.92366666666667,High,167.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
janjgir champa,chhattisgarh,32.5,24.6,30.2,74.1,66.3,6.2,2.1,97.2,78.8,99.5,24.8,99.4,86.2,85.5,74.0,14.8,40.4,1.3,31.3,9.0,11.2,21.6,28.3,67.7,34.919999999999995,-65.93333333333334,21.95,17.525,81.89999999999999,8.67633333333333,High,180.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kabeerdham,chhattisgarh,37.9,12.0,27.3,67.5,43.6,0.0,0.0,97.9,80.3,99.5,25.0,95.6,91.7,95.4,72.1,13.7,40.2,2.6,27.6,8.5,9.4,24.0,26.5,61.7,29.854999999999997,-66.73333333333333,21.025,17.1,86.40000000000002,6.220333333333333,High,313.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
rajnandgaon,chhattisgarh,27.6,19.4,31.0,80.5,58.3,2.9,0.0,98.8,79.2,99.3,27.4,99.2,95.5,91.0,80.8,19.0,47.3,1.7,35.1,10.3,8.2,27.7,28.3,73.4,32.655,-67.46666666666667,25.775000000000002,18.625,89.10000000000001,8.448666666666668,High,191.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mahasamund,chhattisgarh,36.8,14.0,25.8,75.8,63.0,5.1,2.4,98.8,84.2,98.4,30.4,98.9,92.9,82.1,76.2,23.7,43.2,3.7,30.3,7.6,8.5,17.9,21.4,68.6,33.59,-70.13333333333334,25.225,13.85,83.73333333333333,7.224333333333334,High,256.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
dhamtari,chhattisgarh,30.5,17.9,28.9,67.3,59.6,1.4,3.1,99.1,89.8,99.9,30.9,99.4,94.3,80.6,86.8,14.1,38.0,2.8,32.9,10.1,14.1,21.0,24.9,77.3,31.15,-72.26666666666667,21.95,17.525,87.23333333333333,5.901666666666667,High,336.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
uttar bastar kanker,chhattisgarh,24.8,24.5,36.1,62.3,65.2,3.2,2.8,98.7,80.5,99.4,25.9,97.3,94.1,89.5,84.8,16.5,39.4,3.8,31.9,7.4,8.8,27.0,30.2,70.2,31.755,-67.36666666666666,22.9,18.35,89.46666666666665,7.478666666666667,High,241.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
narayanpur,chhattisgarh,43.7,21.5,39.5,86.8,72.0,4.6,1.6,90.5,52.8,91.75000000000001,19.5,98.4,74.2,81.7,83.1,30.85,51.3,3.8,49.7,7.0,8.8,18.8,21.1,54.0,40.915,-53.26666666666667,33.91250000000001,13.925,79.66666666666667,15.280166666666666,High,10.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bijapur,chhattisgarh,53.8,20.0,46.1,77.2,72.1,4.5,2.8,94.3,30.6,91.75000000000001,18.5,98.6,63.6,78.4,73.5,30.85,61.9,3.8,56.849999999999994,8.3,9.2,15.0,21.6,47.4,42.885000000000005,-46.800000000000004,38.35,13.525,71.83333333333333,18.169000000000004,High,2.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
balod,chhattisgarh,33.6,15.1,36.0,68.3,56.4,1.3,1.2,99.5,83.8,99.7,33.3,96.7,97.4,85.2,79.5,11.4,36.1,1.5,26.8,8.1,8.4,25.1,27.7,76.4,32.199999999999996,-71.2,18.95,17.325000000000003,87.36666666666667,5.894999999999998,High,338.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
baloda bazar,chhattisgarh,40.9,19.4,34.1,67.8,61.2,4.7,3.0,94.8,78.9,99.2,24.9,97.9,78.1,77.3,66.1,14.9,40.8,1.8,35.0,7.1,9.4,22.6,27.9,66.7,35.31,-65.2,23.124999999999996,16.75,73.83333333333333,9.059000000000001,High,161.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
balrampur,chhattisgarh,35.1,23.0,38.8,50.1,63.4,1.1,0.5,84.4,57.3,97.9,13.2,99.5,78.9,76.1,62.3,21.4,53.2,3.8,44.5,7.9,11.2,25.2,31.2,62.1,32.059999999999995,-50.633333333333326,30.724999999999998,18.875,72.43333333333334,12.617333333333333,High,39.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bastar,chhattisgarh,48.1,20.4,45.2,80.7,77.2,16.199999999999996,5.3,94.1,61.0,96.8,31.6,97.1,63.5,57.3,69.3,30.85,55.8,3.8,41.4,9.0,11.4,23.7,24.1,58.0,43.839999999999996,-61.23333333333333,32.962500000000006,17.05,63.36666666666667,15.291833333333333,High,9.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bemetara,chhattisgarh,38.4,16.4,27.6,61.8,47.0,1.3,0.0,98.8,80.5,99.7,18.9,97.8,95.0,93.4,63.4,10.6,40.2,0.7,29.0,8.4,11.7,26.9,27.6,65.3,30.299999999999997,-65.06666666666668,20.125000000000004,18.65,83.93333333333334,6.861666666666665,High,272.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bilaspur,chhattisgarh,25.7,24.0,28.0,78.1,58.5,5.1,0.8,93.6,80.5,98.6,42.2,98.6,79.4,52.5,60.4,11.5,40.0,2.6,33.9,10.0,12.7,24.4,28.6,71.0,32.379999999999995,-71.10000000000001,22.0,18.924999999999997,64.10000000000001,6.916999999999996,High,269.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
dantewada,chhattisgarh,45.6,19.4,45.8,89.9,76.0,2.4,1.0,95.1,60.5,95.9,34.6,98.3,90.5,77.6,82.2,30.85,55.7,3.8,49.8,8.1,10.7,19.1,23.7,51.0,42.605000000000004,-62.4,35.03750000000001,15.4,83.43333333333334,14.649500000000003,High,14.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
durg,chhattisgarh,38.9,16.9,27.7,57.1,51.7,2.0,0.0,98.5,89.5,99.6,76.3,98.0,96.7,82.7,67.0,7.2,36.6,0.9,32.0,11.2,12.2,22.6,26.5,79.4,30.349999999999998,-87.10000000000001,19.175000000000004,18.125,82.13333333333334,2.1799999999999997,High,546.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
gariyaband,chhattisgarh,28.9,21.9,22.1,73.9,64.6,1.6,4.8,96.8,81.0,98.7,17.1,99.2,87.6,83.4,79.8,21.0,45.3,1.2,35.1,7.4,8.6,22.6,25.6,67.4,32.01,-63.96666666666667,25.650000000000002,16.05,83.60000000000001,8.350666666666667,High,196.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kondagaon,chhattisgarh,37.6,22.8,42.2,76.6,79.7,10.9,4.4,98.8,79.5,97.8,12.4,99.0,78.7,70.1,80.6,28.6,48.3,3.8,41.4,7.6,9.2,21.2,21.6,57.5,40.14,-62.56666666666667,30.525000000000002,14.899999999999999,76.46666666666667,12.627666666666666,High,38.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mungeli,chhattisgarh,30.1,17.7,30.6,62.0,54.5,1.2,0.0,98.0,80.7,99.7,22.9,97.2,69.8,79.7,68.0,13.7,37.6,1.2,26.1,11.4,11.9,26.2,29.2,63.6,29.64,-66.2,19.650000000000002,19.675,72.5,6.481000000000001,High,298.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
raipur,chhattisgarh,32.2,21.7,32.3,74.6,59.1,3.4,3.8,99.7,84.0,99.5,60.5,99.4,90.7,74.2,76.9,10.9,37.5,1.2,33.3,9.2,9.1,17.7,20.6,77.1,33.970000000000006,-80.39999999999999,20.724999999999998,14.149999999999999,80.60000000000001,4.483000000000004,High,423.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
sukma,chhattisgarh,41.8,21.2,37.4,91.4,78.4,4.9,1.8,96.0,35.5,98.3,14.4,99.0,81.2,73.3,78.1,30.85,61.7,3.8,54.2,6.0,6.5,14.5,18.1,45.9,41.46000000000001,-47.63333333333333,37.6375,11.275,77.53333333333333,16.839833333333335,High,4.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
surajpur,chhattisgarh,27.6,19.3,32.3,51.1,60.7,2.5,0.0,83.4,75.4,98.7,24.0,99.3,85.9,78.7,75.7,17.7,50.4,3.8,43.4,9.9,11.5,25.0,30.9,64.8,28.625,-59.93333333333334,28.825,19.325,80.10000000000001,9.093333333333334,High,157.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
surguja,chhattisgarh,29.4,17.5,30.6,51.4,58.3,2.6,0.3,96.4,75.8,99.3,24.5,99.4,85.3,84.6,65.1,24.0,49.3,3.8,40.6,9.0,12.5,28.5,37.5,66.3,28.395,-64.56666666666666,29.425,21.875,78.33333333333333,8.704666666666668,High,174.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
diu,dadra and nagar haveli and daman and diu,33.9,17.4,28.5,62.8,50.3,1.2,0.5,99.7,89.7,100.0,85.3,96.4,95.7,92.9,64.0,1.7,34.5,0.4,25.2,17.3,19.4,18.1,17.7,77.8,29.980000000000004,-90.56666666666666,15.450000000000001,18.125,84.2,0.5936666666666697,Medium,621.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
daman,dadra and nagar haveli and daman and diu,30.0,25.2,29.3,82.5,60.8,4.8,0.5,96.0,67.1,99.5,92.1,97.0,97.4,78.3,32.9,2.3,36.1,0.6,32.6,12.8,15.6,18.4,19.9,83.8,34.65999999999999,-84.06666666666666,17.9,16.674999999999997,69.53333333333333,3.9656666666666642,High,454.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
dadra and nagar haveli,dadra and nagar haveli and daman and diu,42.4,20.9,42.1,74.8,64.4,2.1,0.3,94.8,63.1,99.7,74.3,86.6,96.3,100.0,58.8,3.3,39.8,1.4,26.1,13.4,16.4,13.3,13.5,70.8,37.95,-76.39999999999999,17.65,14.149999999999999,85.03333333333335,6.260000000000002,High,311.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
north goa,goa,24.2,17.7,25.8,55.2,40.0,3.6,1.5,98.1,87.7,100.0,96.7,98.1,99.6,78.6,64.8,2.7,19.2,3.8,33.8,20.6,24.9,27.3,28.3,89.5,25.364999999999995,-93.16666666666667,14.874999999999998,25.275,81.0,-0.45733333333333803,Low,659.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
south goa,goa,28.3,21.4,21.0,50.0,37.6,2.5,0.0,99.0,88.2,100.0,96.2,96.9,100.0,78.1,67.7,2.5,16.9,3.8,41.1,21.1,23.2,27.7,25.0,88.2,24.945000000000004,-93.46666666666665,16.075,24.25,81.93333333333334,-0.6503333333333297,Low,669.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kachchh,gujarat,37.5,20.2,33.4,68.6,57.5,3.2,0.5,96.8,85.8,99.2,67.2,98.0,97.4,70.2,34.3,8.9,38.7,0.3,2.7,12.9,13.4,19.1,18.2,66.6,33.824999999999996,-82.26666666666667,12.65,15.9,67.30000000000001,2.7866666666666666,High,512.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
banas kantha,gujarat,39.0,25.5,44.1,79.0,60.0,7.7,0.0,93.6,53.9,91.75000000000001,45.6,96.6,92.9,44.62499999999999,41.0,7.5,37.3,0.1,5.1,12.9,15.8,14.3,15.7,61.1,38.81,-63.36666666666667,12.5,14.675,59.50833333333333,8.285666666666668,High,199.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
patan,gujarat,50.5,20.9,42.3,76.2,59.8,6.8,0.5,99.4,73.1,98.3,62.6,98.1,98.6,81.0,50.2,6.9,38.9,0.2,2.1,18.1,18.8,16.3,16.3,64.8,40.245,-77.36666666666666,12.025,17.375,76.60000000000001,6.504666666666667,High,296.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mahesana,gujarat,31.0,28.2,41.4,86.0,69.3,14.6,0.5,97.0,72.1,97.7,63.1,91.5,97.3,79.6,40.7,7.7,36.9,0.2,3.2,19.4,21.6,22.6,27.0,71.3,39.53,-76.39999999999999,12.000000000000002,22.65,72.53333333333332,7.462000000000002,High,243.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
gandhinagar,gujarat,38.1,30.6,44.6,81.2,68.8,15.0,0.4,99.7,84.6,97.8,76.9,93.6,97.8,77.7,29.7,7.2,33.8,0.1,5.4,18.5,18.7,23.9,29.3,77.6,41.405,-86.06666666666668,11.625,22.6,68.39999999999999,6.193666666666667,High,315.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
porbandar,gujarat,18.2,21.8,25.5,77.9,47.6,5.6,0.8,96.2,85.7,99.8,76.9,99.0,100.0,82.9,42.1,16.7,59.7,0.3,6.0,16.4,19.5,15.8,16.2,74.9,28.729999999999997,-85.26666666666667,20.675,16.974999999999998,75.0,1.9686666666666648,High,551.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
amreli,gujarat,35.3,23.7,30.6,72.0,50.0,3.5,0.3,97.8,73.3,99.6,65.6,93.5,90.1,60.1,47.7,5.0,53.7,0.4,1.6,15.5,17.3,18.0,11.5,69.9,33.15,-77.89999999999999,15.175,15.575,65.96666666666665,3.830000000000002,High,459.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
